Date,HICP
1996-01-31,55.12
1996-02-29,55.37
1996-03-31,55.57
1996-04-30,55.66
1996-05-31,55.79
1996-06-30,55.8
1996-07-31,55.79
1996-08-31,55.76
1996-09-30,55.87
1996-10-31,55.92
1996-11-30,55.93
1996-12-31,56.07
1997-01-31,56.25
1997-02-28,56.38
1997-03-31,56.42
1997-04-30,56.39
1997-05-31,56.55
1997-06-30,56.56
1997-07-31,56.62
1997-08-31,56.72
1997-09-30,56.75
1997-10-31,56.77
1997-11-30,56.84
1997-12-31,56.9
1998-01-31,56.86
1998-02-28,57.01
1998-03-31,57.06
1998-04-30,57.17
1998-05-31,57.29
1998-06-30,57.32
1998-07-31,57.34
1998-08-31,57.36
1998-09-30,57.32
1998-10-31,57.3
1998-11-30,57.3
1998-12-31,57.33
1999-01-31,57.29
1999-02-28,57.43
1999-03-31,57.59
1999-04-30,57.78
1999-05-31,57.83
1999-06-30,57.82
1999-07-31,57.92
1999-08-31,57.99
1999-09-30,58.02
1999-10-31,58.05
1999-11-30,58.13
1999-12-31,58.32
2000-01-31,58.35
2000-02-29,58.54
2000-03-31,58.72
2000-04-30,58.77
2000-05-31,58.84
2000-06-30,59.06
2000-07-31,59.14
2000-08-31,59.19
2000-09-30,59.42
2000-10-31,59.44
2000-11-30,59.55
2000-12-31,59.78
2001-01-31,59.52
2001-02-28,59.69
2001-03-31,60.01
2001-04-30,60.37
2001-05-31,60.66
2001-06-30,60.75
2001-07-31,60.61
2001-08-31,60.56
2001-09-30,60.72
2001-10-31,60.77
2001-11-30,60.73
2001-12-31,61.0
2002-01-31,61.08
2002-02-28,61.17
2002-03-31,61.52
2002-04-30,61.8
2002-05-31,61.91
2002-06-30,61.88
2002-07-31,61.82
2002-08-31,61.86
2002-09-30,62.01
2002-10-31,62.16
2002-11-30,62.11
2002-12-31,62.41
2003-01-31,62.37
2003-02-28,62.62
2003-03-31,62.98
2003-04-30,63.07
2003-05-31,63.03
2003-06-30,63.11
2003-07-31,63.01
2003-08-31,63.11
2003-09-30,63.33
2003-10-31,63.42
2003-11-30,63.45
2003-12-31,63.65
2004-01-31,63.49
2004-02-29,63.64
2004-03-31,64.05
2004-04-30,64.37
2004-05-31,64.57
2004-06-30,64.61
2004-07-31,64.47
2004-08-31,64.6
2004-09-30,64.67
2004-10-31,64.92
2004-11-30,64.88
2004-12-31,65.13
2005-01-31,64.71
2005-02-28,64.95
2005-03-31,65.43
2005-04-30,65.71
2005-05-31,65.85
2005-06-30,65.92
2005-07-31,65.85
2005-08-31,66.01
2005-09-30,66.35
2005-10-31,66.51
2005-11-30,66.37
2005-12-31,66.59
2006-01-31,66.29
2006-02-28,66.48
2006-03-31,66.86
2006-04-30,67.31
2006-05-31,67.49
2006-06-30,67.54
2006-07-31,67.46
2006-08-31,67.52
2006-09-30,67.52
2006-10-31,67.57
2006-11-30,67.6
2006-12-31,67.86
2007-01-31,67.51
2007-02-28,67.71
2007-03-31,68.16
2007-04-30,68.59
2007-05-31,68.75
2007-06-30,68.82
2007-07-31,68.65
2007-08-31,68.7
2007-09-30,68.95
2007-10-31,69.29
2007-11-30,69.66
2007-12-31,69.94
2008-01-31,69.67
2008-02-29,69.92
2008-03-31,70.6
2008-04-30,70.83
2008-05-31,71.27
2008-06-30,71.54
2008-07-31,71.44
2008-08-31,71.33
2008-09-30,71.47
2008-10-31,71.48
2008-11-30,71.14
2008-12-31,71.05
2009-01-31,70.45
2009-02-28,70.74
2009-03-31,71.01
2009-04-30,71.26
2009-05-31,71.3
2009-06-30,71.44
2009-07-31,70.97
2009-08-31,71.21
2009-09-30,71.23
2009-10-31,71.4
2009-11-30,71.48
2009-12-31,71.71
2010-01-31,71.12
2010-02-28,71.34
2010-03-31,72.13
2010-04-30,72.43
2010-05-31,72.51
2010-06-30,72.51
2010-07-31,72.2
2010-08-31,72.34
2010-09-30,72.56
2010-10-31,72.78
2010-11-30,72.85
2010-12-31,73.29
2011-01-31,72.76
2011-02-28,73.07
2011-03-31,74.06
2011-04-30,74.47
2011-05-31,74.48
2011-06-30,74.47
2011-07-31,74.04
2011-08-31,74.18
2011-09-30,74.73
2011-10-31,74.99
2011-11-30,75.05
2011-12-31,75.31
2012-01-31,74.69
2012-02-29,75.07
2012-03-31,76.04
2012-04-30,76.39
2012-05-31,76.29
2012-06-30,76.23
2012-07-31,75.83
2012-08-31,76.12
2012-09-30,76.67
2012-10-31,76.86
2012-11-30,76.7
2012-12-31,76.98
2013-01-31,76.18
2013-02-28,76.46
2013-03-31,77.36
2013-04-30,77.29
2013-05-31,77.37
2013-06-30,77.46
2013-07-31,77.04
2013-08-31,77.14
2013-09-30,77.51
2013-10-31,77.42
2013-11-30,77.36
2013-12-31,77.63
2014-01-31,76.76
2014-02-28,77.0
2014-03-31,77.72
2014-04-30,77.84
2014-05-31,77.76
2014-06-30,77.84
2014-07-31,77.33
2014-08-31,77.42
2014-09-30,77.76
2014-10-31,77.72
2014-11-30,77.58
2014-12-31,77.5
2015-01-31,76.3
2015-02-28,76.78
2015-03-31,77.67
2015-04-30,78.0
2015-05-31,78.22
2015-06-30,78.23
2015-07-31,77.76
2015-08-31,77.76
2015-09-30,77.92
2015-10-31,78.02
2015-11-30,77.68
2015-12-31,77.69
2016-01-31,76.55
2016-02-29,76.68
2016-03-31,77.64
2016-04-30,77.8
2016-05-31,78.13
2016-06-30,78.27
2016-07-31,77.89
2016-08-31,77.93
2016-09-30,78.23
2016-10-31,78.41
2016-11-30,78.13
2016-12-31,78.55
2017-01-31,77.87
2017-02-28,78.18
2017-03-31,78.83
2017-04-30,79.28
2017-05-31,79.21
2017-06-30,79.28
2017-07-31,78.93
2017-08-31,79.13
2017-09-30,79.45
2017-10-31,79.49
2017-11-30,79.33
2017-12-31,79.6
2018-01-31,78.88
2018-02-28,79.05
2018-03-31,79.93
2018-04-30,80.25
2018-05-31,80.76
2018-06-30,80.85
2018-07-31,80.66
2018-08-31,80.78
2018-09-30,81.1
2018-10-31,81.3
2018-11-30,80.85
2018-12-31,80.82
2019-01-31,79.98
2019-02-28,80.23
2019-03-31,81.05
2019-04-30,81.63
2019-05-31,81.74
2019-06-30,81.87
2019-07-31,81.49
2019-08-31,81.6
2019-09-30,81.78
2019-10-31,81.89
2019-11-30,81.63
2019-12-31,81.89
2020-01-31,81.07
2020-02-29,81.21
2020-03-31,81.65
2020-04-30,81.89
2020-05-31,81.81
2020-06-30,82.09
2020-07-31,81.8
2020-08-31,81.46
2020-09-30,81.52
2020-10-31,81.67
2020-11-30,81.4
2020-12-31,81.67
2021-01-31,81.8
2021-02-28,81.97
2021-03-31,82.74
2021-04-30,83.21
2021-05-31,83.43
2021-06-30,83.65
2021-07-31,83.58
2021-08-31,83.87
2021-09-30,84.26
2021-10-31,84.98
2021-11-30,85.36
2021-12-31,85.72
2022-01-31,85.98
2022-02-28,86.79
2022-03-31,88.9
2022-04-30,89.41
2022-05-31,90.15
2022-06-30,90.88
2022-07-31,90.98
2022-08-31,91.53
2022-09-30,92.63
2022-10-31,94.0
2022-11-30,93.94
2022-12-31,93.61
2023-01-31,93.41
2023-02-28,94.17
2023-03-31,95.02
2023-04-30,95.62
2023-05-31,95.65
2023-06-30,95.9
2023-07-31,95.81
2023-08-31,96.33
2023-09-30,96.64
2023-10-31,96.73
2023-11-30,96.19
2023-12-31,96.35
2024-01-31,96.0
2024-02-29,96.6
2024-03-31,97.33
2024-04-30,97.89
2024-05-31,98.1
2024-06-30,98.31
2024-07-31,98.29
2024-08-31,98.42
2024-09-30,98.33
2024-10-31,98.67
2024-11-30,98.35
2024-12-31,98.69
2025-01-31,98.42
2025-02-28,98.84
2025-03-31,99.45
2025-04-30,100.01
2025-05-31,99.96
2025-06-30,100.26
2025-07-31,100.29
2025-08-31,100.43
2025-09-30,100.52
2025-10-31,100.74
2025-11-30,100.45
2025-12-31,100.63
2026-01-31,100.07
2026-02-28,100.71
