Date,SR10Y
2004-09-06,4.262767
2004-09-07,4.260667
2004-09-08,4.280397
2004-09-09,4.215735
2004-09-10,4.175095
2004-09-13,4.190623
2004-09-14,4.18491
2004-09-15,4.182229
2004-09-16,4.182469
2004-09-17,4.158154
2004-09-20,4.133185
2004-09-21,4.140162
2004-09-22,4.11852
2004-09-23,4.05097
2004-09-24,4.090421
2004-09-27,4.066983
2004-09-28,4.065095
2004-09-29,4.104134
2004-09-30,4.115249
2004-10-01,4.138113
2004-10-04,4.167806
2004-10-05,4.121225
2004-10-06,4.117859
2004-10-07,4.128172
2004-10-08,4.075576
2004-10-11,4.086838
2004-10-12,4.042219
2004-10-13,4.054827
2004-10-14,4.034598
2004-10-15,4.026247
2004-10-18,4.030702
2004-10-19,4.053537
2004-10-20,4.012029
2004-10-21,4.008444
2004-10-22,4.00833
2004-10-25,3.969284
2004-10-26,3.965425
2004-10-27,3.963205
2004-10-28,4.041888
2004-10-29,3.984351
2004-11-01,3.993113
2004-11-02,4.038669
2004-11-03,4.037285
2004-11-04,4.037882
2004-11-05,4.0386
2004-11-08,4.038312
2004-11-09,3.998958
2004-11-10,3.982753
2004-11-11,3.962699
2004-11-12,3.935129
2004-11-15,3.900161
2004-11-16,3.876626
2004-11-17,3.89583
2004-11-18,3.924663
2004-11-19,3.907195
2004-11-22,3.880659
2004-11-23,3.872384
2004-11-24,3.867896
2004-11-25,3.855257
2004-11-26,3.852552
2004-11-29,3.891298
2004-11-30,3.867365
2004-12-01,3.844194
2004-12-02,3.871929
2004-12-03,3.842881
2004-12-06,3.794909
2004-12-07,3.765912
2004-12-08,3.767471
2004-12-09,3.691863
2004-12-10,3.667812
2004-12-13,3.676849
2004-12-14,3.663005
2004-12-15,3.61632
2004-12-16,3.637813
2004-12-17,3.687594
2004-12-20,3.657075
2004-12-21,3.680016
2004-12-22,3.678281
2004-12-23,3.649484
2004-12-24,3.594858
2004-12-27,3.671311
2004-12-28,3.685395
2004-12-29,3.745439
2004-12-30,3.7483
2004-12-31,3.729937
2005-01-03,3.709419
