Date,VSTOXX
1999-01-04,18.2
1999-01-05,29.69
1999-01-06,25.17
1999-01-07,32.52
1999-01-08,33.23
1999-01-11,36.84
1999-01-12,37.57
1999-01-13,39.74
1999-01-14,39.14
1999-01-15,38.67
1999-01-19,38.79
1999-01-20,35.55
1999-01-21,36.92
1999-01-22,39.94
1999-01-25,40.7
1999-01-26,42.75
1999-01-27,41.76
1999-01-28,39.15
1999-01-29,37.61
1999-02-01,37.03
1999-02-02,38.61
1999-02-03,39.96
1999-02-04,38.79
1999-02-05,37.81
1999-02-08,38.77
1999-02-09,39.55
1999-02-10,40.3
1999-02-11,37.83
1999-02-12,36.06
1999-02-16,36.01
1999-02-17,36.69
1999-02-18,35.56
1999-02-19,33.91
1999-02-22,32.09
1999-02-23,31.26
1999-02-24,30.78
1999-02-25,31.78
1999-02-26,30.8
1999-03-01,32.46
1999-03-02,32.03
1999-03-03,31.93
1999-03-04,30.88
1999-03-05,29.26
1999-03-08,29.86
1999-03-09,28.96
1999-03-10,27.95
1999-03-11,27.06
1999-03-12,26.98
1999-03-15,27.77
1999-03-16,27.49
1999-03-17,28.16
1999-03-18,28.17
1999-03-19,26.99
1999-03-22,27.14
1999-03-23,28.84
1999-03-24,29.9
1999-03-25,28.05
1999-03-26,28.57
1999-03-29,27.32
1999-03-30,27.23
1999-03-31,25.25
1999-04-01,24.61
1999-04-05,24.61
1999-04-06,24.61
1999-04-07,25.03
1999-04-08,24.91
1999-04-09,24.38
1999-04-12,25.29
1999-04-13,24.4
1999-04-14,25.47
1999-04-15,26.58
1999-04-16,25.74
1999-04-19,25.09
1999-04-20,26.79
1999-04-21,25.77
1999-04-22,25.25
1999-04-23,25.24
1999-04-26,25.78
1999-04-27,24.32
1999-04-28,24.47
1999-04-29,24.78
1999-04-30,23.74
1999-05-03,24.1
1999-05-04,24.47
1999-05-05,25.65
1999-05-06,26.95
1999-05-07,27.08
1999-05-10,27.31
1999-05-11,26.56
1999-05-12,27.59
1999-05-13,27.59
1999-05-14,28.31
1999-05-17,30.53
1999-05-18,30.83
1999-05-19,28.18
1999-05-20,25.34
1999-05-21,23.45
1999-05-24,23.45
1999-05-25,26.62
1999-05-26,26.66
1999-05-27,27.25
1999-05-28,25.57
1999-06-01,25.16
1999-06-02,25.21
1999-06-03,25.64
1999-06-04,23.38
1999-06-07,23.24
1999-06-08,23.13
1999-06-09,22.64
1999-06-10,23.46
1999-06-11,22.42
1999-06-14,23.37
1999-06-15,23.09
1999-06-16,21.77
1999-06-17,20.89
1999-06-18,21.1
1999-06-21,20.65
1999-06-22,21.02
1999-06-23,22.19
1999-06-24,22.78
1999-06-25,22.33
1999-06-28,23.05
1999-06-29,23.15
1999-06-30,23.34
1999-07-01,21.63
1999-07-02,20.42
1999-07-06,20.61
1999-07-07,21.32
1999-07-08,21.47
1999-07-09,20.73
1999-07-12,21.04
1999-07-13,22.48
1999-07-14,22.54
1999-07-15,20.11
1999-07-16,19.77
1999-07-19,19.92
1999-07-20,21.83
1999-07-21,24.26
1999-07-22,25.29
1999-07-23,25.62
1999-07-26,28.26
1999-07-27,27.44
1999-07-28,26.34
1999-07-29,28.0
1999-07-30,26.9
1999-08-02,28.07
1999-08-03,28.85
1999-08-04,29.65
1999-08-05,32.88
1999-08-06,32.15
1999-08-09,31.38
1999-08-10,32.7
1999-08-11,32.48
1999-08-12,29.41
1999-08-13,26.01
1999-08-16,26.97
1999-08-17,26.18
1999-08-18,26.7
1999-08-19,27.3
1999-08-20,25.81
1999-08-23,24.63
1999-08-24,24.99
1999-08-25,23.07
1999-08-26,22.78
1999-08-27,22.31
1999-08-30,23.23
1999-08-31,24.96
1999-09-01,24.47
1999-09-02,25.84
1999-09-03,23.04
1999-09-07,23.04
1999-09-08,23.09
1999-09-09,22.22
1999-09-10,21.64
1999-09-13,22.72
1999-09-14,23.62
1999-09-15,24.72
1999-09-16,25.13
1999-09-17,23.84
1999-09-20,23.8
1999-09-21,25.4
1999-09-22,25.82
1999-09-23,25.03
1999-09-24,27.13
1999-09-27,26.3
1999-09-28,26.91
1999-09-29,27.85
1999-09-30,27.85
1999-10-01,27.87
1999-10-04,26.59
1999-10-05,26.32
1999-10-06,25.28
1999-10-07,23.5
1999-10-08,23.17
1999-10-11,22.68
1999-10-12,23.47
1999-10-13,24.71
1999-10-14,24.01
1999-10-15,27.18
1999-10-18,29.43
1999-10-19,26.0
1999-10-20,25.49
1999-10-21,25.95
1999-10-22,23.4
1999-10-25,25.27
1999-10-26,24.37
1999-10-27,24.76
1999-10-28,22.01
1999-10-29,21.94
1999-11-01,21.86
1999-11-02,22.04
1999-11-03,22.35
1999-11-04,21.81
1999-11-05,20.89
1999-11-08,21.33
1999-11-09,21.27
1999-11-10,21.22
1999-11-11,20.95
1999-11-12,20.78
1999-11-15,21.61
1999-11-16,21.11
1999-11-17,21.27
1999-11-18,20.51
1999-11-19,20.15
1999-11-22,22.5
1999-11-23,22.82
1999-11-24,22.8
1999-11-26,22.0
1999-11-29,23.06
1999-11-30,23.4
1999-12-01,23.67
1999-12-02,23.54
1999-12-03,22.42
1999-12-06,22.95
1999-12-07,23.69
1999-12-08,23.6
1999-12-09,23.95
1999-12-10,25.19
1999-12-13,25.81
1999-12-14,26.7
1999-12-15,28.23
1999-12-16,29.6
1999-12-17,29.43
1999-12-20,28.93
1999-12-21,29.42
1999-12-22,28.42
1999-12-23,29.0
1999-12-27,31.99
1999-12-28,31.87
1999-12-29,31.52
