Date,EONIA_ESTR
1999-01-04,3.115
1999-01-05,3.115
1999-01-06,3.125
1999-01-07,3.125
1999-01-08,3.125
1999-01-11,3.115
1999-01-12,3.105
1999-01-13,3.095
1999-01-14,3.075
1999-01-15,3.015
1999-01-18,2.935
1999-01-19,2.895
1999-01-20,2.925
1999-01-21,2.945
1999-01-22,2.985
1999-01-25,3.055
1999-01-26,3.1350000000000002
1999-01-27,3.045
1999-01-28,3.035
1999-01-29,3.075
1999-02-01,3.085
1999-02-02,3.095
1999-02-03,3.095
1999-02-04,3.085
1999-02-05,3.065
1999-02-08,3.065
1999-02-09,3.045
1999-02-10,3.035
1999-02-11,3.015
1999-02-12,2.995
1999-02-15,2.975
1999-02-16,2.955
1999-02-17,2.945
1999-02-18,2.935
1999-02-19,2.945
1999-02-22,2.965
1999-02-23,3.255
1999-02-24,3.045
1999-02-25,3.025
1999-02-26,3.035
1999-03-01,3.035
1999-03-02,3.025
1999-03-03,2.995
1999-03-04,2.975
1999-03-05,2.955
1999-03-08,2.945
1999-03-09,2.945
1999-03-10,2.935
1999-03-11,2.9050000000000002
1999-03-12,2.835
1999-03-15,2.815
1999-03-16,2.815
1999-03-17,2.895
1999-03-18,2.865
1999-03-19,2.565
1999-03-22,2.105
1999-03-23,2.305
1999-03-24,2.895
1999-03-25,2.9050000000000002
1999-03-26,2.9050000000000002
1999-03-29,2.9050000000000002
1999-03-30,2.895
1999-03-31,2.9050000000000002
1999-04-01,2.895
1999-04-02,2.875
1999-04-05,2.8850000000000002
1999-04-06,2.895
1999-04-07,2.995
1999-04-08,3.025
1999-04-09,2.725
1999-04-12,2.685
1999-04-13,2.645
1999-04-14,2.515
1999-04-15,2.495
1999-04-16,2.465
1999-04-19,2.425
1999-04-20,2.3850000000000002
1999-04-21,2.3850000000000002
1999-04-22,2.3850000000000002
1999-04-23,2.845
1999-04-26,2.445
1999-04-27,2.445
1999-04-28,2.435
1999-04-29,2.435
1999-04-30,2.445
1999-05-03,2.435
1999-05-04,2.425
1999-05-05,2.425
1999-05-06,2.425
1999-05-07,2.425
1999-05-10,2.425
1999-05-11,2.425
1999-05-12,2.425
1999-05-13,2.425
1999-05-14,2.425
1999-05-17,2.435
1999-05-18,2.445
1999-05-19,2.555
1999-05-20,2.935
1999-05-21,2.525
1999-05-24,2.455
1999-05-25,2.455
1999-05-26,2.435
1999-05-27,2.425
1999-05-28,2.425
1999-05-31,2.435
1999-06-01,2.435
1999-06-02,2.445
1999-06-03,2.455
1999-06-04,2.455
1999-06-07,2.455
1999-06-08,2.455
1999-06-09,2.455
1999-06-10,2.455
1999-06-11,2.465
1999-06-14,2.465
1999-06-15,2.465
1999-06-16,2.475
1999-06-17,2.495
1999-06-18,2.515
1999-06-21,2.585
1999-06-22,2.575
1999-06-23,2.145
1999-06-24,2.465
1999-06-25,2.495
1999-06-28,2.515
1999-06-29,2.575
1999-06-30,2.675
1999-07-01,2.515
1999-07-02,2.495
1999-07-05,2.485
1999-07-06,2.475
1999-07-07,2.455
1999-07-08,2.455
1999-07-09,2.455
1999-07-12,2.455
1999-07-13,2.465
1999-07-14,2.475
1999-07-15,2.505
1999-07-16,2.535
1999-07-19,2.545
1999-07-20,2.545
1999-07-21,2.515
1999-07-22,1.955
1999-07-23,1.7850000000000001
1999-07-26,2.485
1999-07-27,2.505
1999-07-28,2.495
1999-07-29,2.495
1999-07-30,2.495
1999-08-02,2.495
1999-08-03,2.465
1999-08-04,2.455
1999-08-05,2.445
1999-08-06,2.445
1999-08-09,2.445
1999-08-10,2.455
1999-08-11,2.465
1999-08-12,2.475
1999-08-13,2.485
1999-08-16,2.485
1999-08-17,2.465
1999-08-18,2.075
1999-08-19,1.7650000000000001
1999-08-20,1.855
1999-08-23,1.7750000000000001
1999-08-24,2.465
1999-08-25,2.475
1999-08-26,2.475
1999-08-27,2.465
1999-08-30,2.465
1999-08-31,2.475
1999-09-01,2.475
1999-09-02,2.465
1999-09-03,2.455
1999-09-06,2.445
1999-09-07,2.435
1999-09-08,2.435
1999-09-09,2.425
1999-09-10,2.425
1999-09-13,2.425
1999-09-14,2.425
1999-09-15,2.425
1999-09-16,2.425
1999-09-17,2.375
1999-09-20,1.9649999999999999
1999-09-21,2.295
1999-09-22,1.835
1999-09-23,1.655
1999-09-24,2.435
1999-09-27,2.435
1999-09-28,2.435
1999-09-29,2.435
1999-09-30,2.545
1999-10-01,2.485
1999-10-04,2.515
1999-10-05,2.535
1999-10-06,2.555
1999-10-07,2.575
1999-10-08,2.445
1999-10-11,2.445
1999-10-12,2.465
1999-10-13,2.495
1999-10-14,2.515
1999-10-15,2.515
1999-10-18,2.475
1999-10-19,2.025
1999-10-20,2.005
1999-10-21,1.845
1999-10-22,1.675
1999-10-25,2.505
1999-10-26,2.715
1999-10-27,2.685
