Date,SR30Y
2004-09-06,5.056951
2004-09-07,5.048499
2004-09-08,5.048763
2004-09-09,5.008323
2004-09-10,4.979773
2004-09-13,4.998307
2004-09-14,4.987727
2004-09-15,4.981614
2004-09-16,4.975332
2004-09-17,5.003229
2004-09-20,4.937126
2004-09-21,4.942264
2004-09-22,4.912732
2004-09-23,4.855562
2004-09-24,4.892928
2004-09-27,4.863442
2004-09-28,4.868543
2004-09-29,4.911009
2004-09-30,4.949838
2004-10-01,4.955839
2004-10-04,4.954348
2004-10-05,4.927159
2004-10-06,4.905667
2004-10-07,4.923361
2004-10-08,4.881233
2004-10-11,4.903545
2004-10-12,4.868303
2004-10-13,4.86788
2004-10-14,4.855831
2004-10-15,4.841056
2004-10-18,4.870155
2004-10-19,4.883991
2004-10-20,4.854611
2004-10-21,4.846299
2004-10-22,4.849356
2004-10-25,4.831063
2004-10-26,4.835358
2004-10-27,4.820382
2004-10-28,4.860381
2004-10-29,4.87851
2004-11-01,4.830759
2004-11-02,4.841826
2004-11-03,4.845312
2004-11-04,4.846267
2004-11-05,4.842849
2004-11-08,4.836976
2004-11-09,4.773291
2004-11-10,4.749095
2004-11-11,4.73199
2004-11-12,4.701898
2004-11-15,4.677639
2004-11-16,4.653122
2004-11-17,4.672326
2004-11-18,4.701322
2004-11-19,4.683414
2004-11-22,4.661265
2004-11-23,4.648289
2004-11-24,4.640092
2004-11-25,4.620661
2004-11-26,4.60077
2004-11-29,4.642349
2004-11-30,4.632287
2004-12-01,4.607311
2004-12-02,4.63112
2004-12-03,4.620288
2004-12-06,4.578052
2004-12-07,4.572331
2004-12-08,4.550322
2004-12-09,4.478357
2004-12-10,4.460959
2004-12-13,4.453975
2004-12-14,4.421694
2004-12-15,4.365375
2004-12-16,4.380678
2004-12-17,4.401197
2004-12-20,4.388381
2004-12-21,4.425604
2004-12-22,4.445844
2004-12-23,4.450229
2004-12-24,4.52166
2004-12-27,4.456822
2004-12-28,4.447705
2004-12-29,4.52616
2004-12-30,4.541323
2004-12-31,4.572868
2005-01-03,4.512698
2005-01-04,4.487768
2005-01-05,4.493227
2005-01-06,4.434939
2005-01-07,4.394799
2005-01-10,4.392962
2005-01-11,4.385165
2005-01-12,4.39713
2005-01-13,4.351695
2005-01-14,4.311549
2005-01-17,4.284557
2005-01-18,4.277202
2005-01-19,4.201635
2005-01-20,4.263356
2005-01-21,4.286787
2005-01-24,4.26321
2005-01-25,4.192235
2005-01-26,4.218458
2005-01-27,4.236225
2005-01-28,4.215541
2005-01-31,4.207605
2005-02-01,4.205203
2005-02-02,4.157338
2005-02-03,4.125318
2005-02-04,4.080745
2005-02-07,4.01619
2005-02-08,4.052254
2005-02-09,3.994714
2005-02-10,3.988032
2005-02-11,4.057534
2005-02-14,4.096898
2005-02-15,4.101391
2005-02-16,4.138166
2005-02-17,4.183831
2005-02-18,4.263761
2005-02-21,4.28066
2005-02-22,4.304433
2005-02-23,4.291922
2005-02-24,4.323442
2005-02-25,4.332139
2005-02-28,4.313131
2005-03-01,4.341584
2005-03-02,4.410898
2005-03-03,4.424649
2005-03-04,4.345299
2005-03-07,4.305965
2005-03-08,4.335563
2005-03-09,4.400656
2005-03-10,4.401937
2005-03-11,4.440039
2005-03-14,4.426503
2005-03-15,4.372725
2005-03-16,4.359452
2005-03-17,4.334751
2005-03-18,4.372413
2005-03-21,4.357354
2005-03-22,4.339916
2005-03-23,4.355888
2005-03-24,4.362476
2005-03-29,4.378779
2005-03-30,4.384241
2005-03-31,4.315225
2005-04-01,4.322583
2005-04-04,4.287145
2005-04-05,4.276514
2005-04-06,4.306345
2005-04-07,4.316384
2005-04-08,4.363564
2005-04-11,4.333422
2005-04-12,4.307622
2005-04-13,4.291478
2005-04-14,4.310965
2005-04-15,4.300934
2005-04-18,4.298972
2005-04-19,4.248639
2005-04-20,4.249259
2005-04-21,4.240074
2005-04-22,4.239107
2005-04-25,4.222566
2005-04-26,4.203056
2005-04-27,4.176371
2005-04-28,4.185174
2005-04-29,4.19742
2005-05-02,4.165296
2005-05-03,4.143866
2005-05-04,4.173776
2005-05-05,4.185646
2005-05-06,4.196381
2005-05-09,4.177304
