"DATE","TIME PERIOD","HICP Inflation rate - Total - Index (HICP.M.U2.N.000000.4D0.INX)"
"1996-01-31","1996Jan","55.12"
"1996-02-29","1996Feb","55.37"
"1996-03-31","1996Mar","55.57"
"1996-04-30","1996Apr","55.66"
"1996-05-31","1996May","55.79"
"1996-06-30","1996Jun","55.80"
"1996-07-31","1996Jul","55.79"
"1996-08-31","1996Aug","55.76"
"1996-09-30","1996Sep","55.87"
"1996-10-31","1996Oct","55.92"
"1996-11-30","1996Nov","55.93"
"1996-12-31","1996Dec","56.07"
"1997-01-31","1997Jan","56.25"
"1997-02-28","1997Feb","56.38"
"1997-03-31","1997Mar","56.42"
"1997-04-30","1997Apr","56.39"
"1997-05-31","1997May","56.55"
"1997-06-30","1997Jun","56.56"
"1997-07-31","1997Jul","56.62"
"1997-08-31","1997Aug","56.72"
"1997-09-30","1997Sep","56.75"
"1997-10-31","1997Oct","56.77"
"1997-11-30","1997Nov","56.84"
"1997-12-31","1997Dec","56.90"
"1998-01-31","1998Jan","56.86"
"1998-02-28","1998Feb","57.01"
"1998-03-31","1998Mar","57.06"
"1998-04-30","1998Apr","57.17"
"1998-05-31","1998May","57.29"
"1998-06-30","1998Jun","57.32"
"1998-07-31","1998Jul","57.34"
"1998-08-31","1998Aug","57.36"
"1998-09-30","1998Sep","57.32"
"1998-10-31","1998Oct","57.30"
"1998-11-30","1998Nov","57.30"
"1998-12-31","1998Dec","57.33"
"1999-01-31","1999Jan","57.29"
"1999-02-28","1999Feb","57.43"
"1999-03-31","1999Mar","57.59"
"1999-04-30","1999Apr","57.78"
"1999-05-31","1999May","57.83"
"1999-06-30","1999Jun","57.82"
"1999-07-31","1999Jul","57.92"
"1999-08-31","1999Aug","57.99"
"1999-09-30","1999Sep","58.02"
"1999-10-31","1999Oct","58.05"
"1999-11-30","1999Nov","58.13"
"1999-12-31","1999Dec","58.32"
"2000-01-31","2000Jan","58.35"
"2000-02-29","2000Feb","58.54"
"2000-03-31","2000Mar","58.72"
"2000-04-30","2000Apr","58.77"
"2000-05-31","2000May","58.84"
"2000-06-30","2000Jun","59.06"
"2000-07-31","2000Jul","59.14"
"2000-08-31","2000Aug","59.19"
"2000-09-30","2000Sep","59.42"
"2000-10-31","2000Oct","59.44"
"2000-11-30","2000Nov","59.55"
"2000-12-31","2000Dec","59.78"
"2001-01-31","2001Jan","59.52"
"2001-02-28","2001Feb","59.69"
"2001-03-31","2001Mar","60.01"
