"DATE","TIME PERIOD","Monetary aggregate M2, Stocks (BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","1070496.00"
"1980-02-29","1980Feb","1078232.00"
"1980-03-31","1980Mar","1088333.00"
"1980-04-30","1980Apr","1093263.00"
"1980-05-31","1980May","1100958.00"
"1980-06-30","1980Jun","1109205.00"
"1980-07-31","1980Jul","1120452.00"
"1980-08-31","1980Aug","1127098.00"
"1980-09-30","1980Sep","1133419.00"
"1980-10-31","1980Oct","1145159.00"
"1980-11-30","1980Nov","1160031.00"
"1980-12-31","1980Dec","1165452.00"
"1981-01-31","1981Jan","1175008.00"
"1981-02-28","1981Feb","1186668.00"
"1981-03-31","1981Mar","1194414.00"
"1981-04-30","1981Apr","1204188.00"
"1981-05-31","1981May","1215847.00"
"1981-06-30","1981Jun","1223076.00"
"1981-07-31","1981Jul","1230470.00"
"1981-08-31","1981Aug","1234000.00"
"1981-09-30","1981Sep","1246150.00"
"1981-10-31","1981Oct","1253958.00"
"1981-11-30","1981Nov","1264026.00"
"1981-12-31","1981Dec","1273805.00"
"1982-01-31","1982Jan","1287848.00"
"1982-02-28","1982Feb","1299092.00"
"1982-03-31","1982Mar","1313351.00"
"1982-04-30","1982Apr","1326733.00"
"1982-05-31","1982May","1334764.00"
"1982-06-30","1982Jun","1347524.00"
"1982-07-31","1982Jul","1358609.00"
"1982-08-31","1982Aug","1372472.00"
"1982-09-30","1982Sep","1382740.00"
"1982-10-31","1982Oct","1389853.00"
"1982-11-30","1982Nov","1401761.00"
"1982-12-31","1982Dec","1414556.00"
"1983-01-31","1983Jan","1425088.00"
"1983-02-28","1983Feb","1435898.00"
"1983-03-31","1983Mar","1443423.00"
"1983-04-30","1983Apr","1453878.00"
"1983-05-31","1983May","1464343.00"
"1983-06-30","1983Jun","1474969.00"
"1983-07-31","1983Jul","1486582.00"
"1983-08-31","1983Aug","1498206.00"
"1983-09-30","1983Sep","1503408.00"
"1983-10-31","1983Oct","1513481.00"
"1983-11-30","1983Nov","1526253.00"
"1983-12-31","1983Dec","1537092.00"
"1984-01-31","1984Jan","1543563.00"
"1984-02-29","1984Feb","1549774.00"
"1984-03-31","1984Mar","1559014.00"
"1984-04-30","1984Apr","1568820.00"
"1984-05-31","1984May","1583749.00"
"1984-06-30","1984Jun","1591965.00"
"1984-07-31","1984Jul","1603857.00"
"1984-08-31","1984Aug","1617813.00"
"1984-09-30","1984Sep","1631220.00"
"1984-10-31","1984Oct","1638411.00"
"1984-11-30","1984Nov","1649653.00"
"1984-12-31","1984Dec","1661882.00"
"1985-01-31","1985Jan","1676415.00"
"1985-02-28","1985Feb","1691806.00"
"1985-03-31","1985Mar","1700138.00"
"1985-04-30","1985Apr","1709983.00"
"1985-05-31","1985May","1715317.00"
"1985-06-30","1985Jun","1722006.00"
"1985-07-31","1985Jul","1731220.00"
"1985-08-31","1985Aug","1738364.00"
"1985-09-30","1985Sep","1746936.00"
"1985-10-31","1985Oct","1755357.00"
"1985-11-30","1985Nov","1760581.00"
"1985-12-31","1985Dec","1784034.00"
"1986-01-31","1986Jan","1792537.00"
"1986-02-28","1986Feb","1800828.00"
"1986-03-31","1986Mar","1818276.00"
"1986-04-30","1986Apr","1815354.00"
"1986-05-31","1986May","1824547.00"
"1986-06-30","1986Jun","1832456.00"
"1986-07-31","1986Jul","1847233.00"
"1986-08-31","1986Aug","1858580.00"
"1986-09-30","1986Sep","1872837.00"
"1986-10-31","1986Oct","1889296.00"
"1986-11-30","1986Nov","1896941.00"
"1986-12-31","1986Dec","1903734.00"
"1987-01-31","1987Jan","1918425.00"
"1987-02-28","1987Feb","1927091.00"
"1987-03-31","1987Mar","1940390.00"
"1987-04-30","1987Apr","1952955.00"
"1987-05-31","1987May","1962800.00"
"1987-06-30","1987Jun","1975973.00"
"1987-07-31","1987Jul","1985755.00"
"1987-08-31","1987Aug","1992865.00"
"1987-09-30","1987Sep","2002177.00"
"1987-10-31","1987Oct","2016290.00"
"1987-11-30","1987Nov","2024128.00"
"1987-12-31","1987Dec","2027444.00"
"1988-01-31","1988Jan","2037581.00"
"1988-02-29","1988Feb","2046281.00"
"1988-03-31","1988Mar","2057427.00"
"1988-04-30","1988Apr","2076081.00"
"1988-05-31","1988May","2090533.00"
"1988-06-30","1988Jun","2100900.00"
"1988-07-31","1988Jul","2116901.00"
"1988-08-31","1988Aug","2131825.00"
"1988-09-30","1988Sep","2139817.00"
"1988-10-31","1988Oct","2154925.00"
"1988-11-30","1988Nov","2167024.00"
"1988-12-31","1988Dec","2173774.00"
"1989-01-31","1989Jan","2185797.00"
"1989-02-28","1989Feb","2197853.00"
"1989-03-31","1989Mar","2222161.00"
"1989-04-30","1989Apr","2224430.00"
"1989-05-31","1989May","2240671.00"
"1989-06-30","1989Jun","2263203.00"
"1989-07-31","1989Jul","2280165.00"
