Date,rel_day,error,model,event_name
2008-03-19,-140.0,0.35117322,MLP1Y,2008 Financial Crisis
2008-03-20,-139.0,0.2707155,MLP1Y,2008 Financial Crisis
2008-03-25,-138.0,-5.8719788,MLP1Y,2008 Financial Crisis
2008-03-26,-137.0,-0.34770697,MLP1Y,2008 Financial Crisis
2008-03-27,-136.0,-2.0226445,MLP1Y,2008 Financial Crisis
2008-03-28,-135.0,-0.69049215,MLP1Y,2008 Financial Crisis
2008-03-31,-134.0,0.18995336,MLP1Y,2008 Financial Crisis
2008-04-01,-133.0,-3.711423,MLP1Y,2008 Financial Crisis
2008-04-02,-132.0,-2.4727108,MLP1Y,2008 Financial Crisis
2008-04-03,-131.0,0.14694321,MLP1Y,2008 Financial Crisis
2008-04-04,-130.0,-0.59107316,MLP1Y,2008 Financial Crisis
2008-04-07,-129.0,-0.8150782,MLP1Y,2008 Financial Crisis
2008-04-08,-128.0,0.858274,MLP1Y,2008 Financial Crisis
2008-04-09,-127.0,0.98578686,MLP1Y,2008 Financial Crisis
2008-04-10,-126.0,0.4475789,MLP1Y,2008 Financial Crisis
2008-04-11,-125.0,1.9618766,MLP1Y,2008 Financial Crisis
2008-04-14,-124.0,-0.15971851,MLP1Y,2008 Financial Crisis
2008-04-15,-123.0,-0.66526365,MLP1Y,2008 Financial Crisis
2008-04-16,-122.0,-1.3933041,MLP1Y,2008 Financial Crisis
2008-04-17,-121.0,0.59573054,MLP1Y,2008 Financial Crisis
2008-04-18,-120.0,-2.642872,MLP1Y,2008 Financial Crisis
2008-04-21,-119.0,1.1107951,MLP1Y,2008 Financial Crisis
2008-04-22,-118.0,1.0038229,MLP1Y,2008 Financial Crisis
2008-04-23,-117.0,-0.6786029,MLP1Y,2008 Financial Crisis
2008-04-24,-116.0,-0.18316597,MLP1Y,2008 Financial Crisis
2008-04-25,-115.0,-1.0280944,MLP1Y,2008 Financial Crisis
2008-04-28,-114.0,-0.9256841,MLP1Y,2008 Financial Crisis
2008-04-29,-113.0,1.0639467,MLP1Y,2008 Financial Crisis
2008-04-30,-112.0,-0.8331947,MLP1Y,2008 Financial Crisis
2008-05-01,-111.0,0.8483044,MLP1Y,2008 Financial Crisis
2008-05-02,-110.0,0.17006898,MLP1Y,2008 Financial Crisis
2008-05-05,-109.0,-0.098149866,MLP1Y,2008 Financial Crisis
2008-05-06,-108.0,-0.45056278,MLP1Y,2008 Financial Crisis
2008-05-07,-107.0,-1.6954691,MLP1Y,2008 Financial Crisis
2008-05-08,-106.0,0.01011917,MLP1Y,2008 Financial Crisis
2008-05-09,-105.0,1.4930396,MLP1Y,2008 Financial Crisis
2008-05-12,-104.0,-0.8416765,MLP1Y,2008 Financial Crisis
2008-05-13,-103.0,-0.38423914,MLP1Y,2008 Financial Crisis
2008-05-14,-102.0,-1.0072317,MLP1Y,2008 Financial Crisis
2008-05-15,-101.0,0.7681804,MLP1Y,2008 Financial Crisis
2008-05-16,-100.0,-1.0200598,MLP1Y,2008 Financial Crisis
2008-05-19,-99.0,-0.76857746,MLP1Y,2008 Financial Crisis
2008-05-20,-98.0,1.7013004,MLP1Y,2008 Financial Crisis
2008-05-21,-97.0,0.81724083,MLP1Y,2008 Financial Crisis
2008-05-22,-96.0,-0.43139508,MLP1Y,2008 Financial Crisis
2008-05-23,-95.0,1.9556607,MLP1Y,2008 Financial Crisis
2008-05-26,-94.0,-1.1224017,MLP1Y,2008 Financial Crisis
2008-05-27,-93.0,0.53612405,MLP1Y,2008 Financial Crisis
2008-05-28,-92.0,-1.8149757,MLP1Y,2008 Financial Crisis
2008-05-29,-91.0,-0.87059045,MLP1Y,2008 Financial Crisis
2008-05-30,-90.0,-0.24103397,MLP1Y,2008 Financial Crisis
2008-06-02,-89.0,1.6471868,MLP1Y,2008 Financial Crisis
2008-06-03,-88.0,-0.8697542,MLP1Y,2008 Financial Crisis
2008-06-04,-87.0,1.1585516,MLP1Y,2008 Financial Crisis
2008-06-05,-86.0,0.71255136,MLP1Y,2008 Financial Crisis
2008-06-06,-85.0,2.5837688,MLP1Y,2008 Financial Crisis
2008-06-09,-84.0,-1.1899909,MLP1Y,2008 Financial Crisis
2008-06-10,-83.0,0.80439997,MLP1Y,2008 Financial Crisis
2008-06-11,-82.0,0.55318403,MLP1Y,2008 Financial Crisis
2008-06-12,-81.0,-2.4535508,MLP1Y,2008 Financial Crisis
2008-06-13,-80.0,1.3806362,MLP1Y,2008 Financial Crisis
2008-06-16,-79.0,-0.6581452,MLP1Y,2008 Financial Crisis
2008-06-17,-78.0,-1.1441389,MLP1Y,2008 Financial Crisis
2008-06-18,-77.0,2.9855602,MLP1Y,2008 Financial Crisis
2008-06-19,-76.0,0.68491596,MLP1Y,2008 Financial Crisis
2008-06-20,-75.0,1.0795493,MLP1Y,2008 Financial Crisis
2008-06-23,-74.0,-2.5639186,MLP1Y,2008 Financial Crisis
2008-06-24,-73.0,-0.36182815,MLP1Y,2008 Financial Crisis
2008-06-25,-72.0,-2.2239697,MLP1Y,2008 Financial Crisis
2008-06-26,-71.0,2.1815467,MLP1Y,2008 Financial Crisis
