model,Date,rel_day,error,event_name
MLP1Y,2008-03-19,-140.0,1.8284624,2008 Financial Crisis
MLP1Y,2008-03-20,-139.0,-0.19681841,2008 Financial Crisis
MLP1Y,2008-03-25,-138.0,-4.550837,2008 Financial Crisis
MLP1Y,2008-03-26,-137.0,-0.81258655,2008 Financial Crisis
MLP1Y,2008-03-27,-136.0,-1.8169085,2008 Financial Crisis
MLP1Y,2008-03-28,-135.0,0.50822747,2008 Financial Crisis
MLP1Y,2008-03-31,-134.0,0.62656426,2008 Financial Crisis
MLP1Y,2008-04-01,-133.0,-2.9473107,2008 Financial Crisis
MLP1Y,2008-04-02,-132.0,-2.196679,2008 Financial Crisis
MLP1Y,2008-04-03,-131.0,-0.43580633,2008 Financial Crisis
MLP1Y,2008-04-04,-130.0,-2.2909703,2008 Financial Crisis
MLP1Y,2008-04-07,-129.0,0.07356173,2008 Financial Crisis
MLP1Y,2008-04-08,-128.0,1.4836931,2008 Financial Crisis
MLP1Y,2008-04-09,-127.0,0.44383264,2008 Financial Crisis
MLP1Y,2008-04-10,-126.0,0.3904107,2008 Financial Crisis
MLP1Y,2008-04-11,-125.0,1.8666532,2008 Financial Crisis
MLP1Y,2008-04-14,-124.0,0.49195302,2008 Financial Crisis
MLP1Y,2008-04-15,-123.0,-1.1215763,2008 Financial Crisis
MLP1Y,2008-04-16,-122.0,-1.2000843,2008 Financial Crisis
MLP1Y,2008-04-17,-121.0,0.8930153,2008 Financial Crisis
MLP1Y,2008-04-18,-120.0,-3.1729598,2008 Financial Crisis
MLP1Y,2008-04-21,-119.0,1.3983412,2008 Financial Crisis
MLP1Y,2008-04-22,-118.0,1.4921074,2008 Financial Crisis
MLP1Y,2008-04-23,-117.0,-1.074092,2008 Financial Crisis
MLP1Y,2008-04-24,-116.0,-0.4969542,2008 Financial Crisis
MLP1Y,2008-04-25,-115.0,-0.9836627,2008 Financial Crisis
MLP1Y,2008-04-28,-114.0,-0.92206967,2008 Financial Crisis
MLP1Y,2008-04-29,-113.0,0.2722354,2008 Financial Crisis
MLP1Y,2008-04-30,-112.0,-1.3170947,2008 Financial Crisis
MLP1Y,2008-05-01,-111.0,0.19154993,2008 Financial Crisis
MLP1Y,2008-05-02,-110.0,-0.28736663,2008 Financial Crisis
MLP1Y,2008-05-05,-109.0,-1.2014917,2008 Financial Crisis
MLP1Y,2008-05-06,-108.0,-0.09528166,2008 Financial Crisis
MLP1Y,2008-05-07,-107.0,-2.3547866,2008 Financial Crisis
MLP1Y,2008-05-08,-106.0,-0.1756854,2008 Financial Crisis
MLP1Y,2008-05-09,-105.0,1.4955921,2008 Financial Crisis
MLP1Y,2008-05-12,-104.0,-1.2145534,2008 Financial Crisis
MLP1Y,2008-05-13,-103.0,0.55286026,2008 Financial Crisis
MLP1Y,2008-05-14,-102.0,-1.5320303,2008 Financial Crisis
MLP1Y,2008-05-15,-101.0,0.7693184,2008 Financial Crisis
MLP1Y,2008-05-16,-100.0,0.8297477,2008 Financial Crisis
MLP1Y,2008-05-19,-99.0,-0.9147756,2008 Financial Crisis
MLP1Y,2008-05-20,-98.0,0.63977885,2008 Financial Crisis
MLP1Y,2008-05-21,-97.0,0.12263459,2008 Financial Crisis
MLP1Y,2008-05-22,-96.0,-0.29106584,2008 Financial Crisis
MLP1Y,2008-05-23,-95.0,1.3654745,2008 Financial Crisis
MLP1Y,2008-05-26,-94.0,-0.18703362,2008 Financial Crisis
MLP1Y,2008-05-27,-93.0,-0.0054694116,2008 Financial Crisis
MLP1Y,2008-05-28,-92.0,-1.4249187,2008 Financial Crisis
MLP1Y,2008-05-29,-91.0,-1.0281814,2008 Financial Crisis
MLP1Y,2008-05-30,-90.0,-1.832726,2008 Financial Crisis
MLP1Y,2008-06-02,-89.0,1.1510961,2008 Financial Crisis
MLP1Y,2008-06-03,-88.0,-0.9047475,2008 Financial Crisis
MLP1Y,2008-06-04,-87.0,0.9599373,2008 Financial Crisis
MLP1Y,2008-06-05,-86.0,0.34627116,2008 Financial Crisis
MLP1Y,2008-06-06,-85.0,1.8726645,2008 Financial Crisis
MLP1Y,2008-06-09,-84.0,-0.26225466,2008 Financial Crisis
MLP1Y,2008-06-10,-83.0,0.50462204,2008 Financial Crisis
MLP1Y,2008-06-11,-82.0,0.95028734,2008 Financial Crisis
MLP1Y,2008-06-12,-81.0,-1.8340819,2008 Financial Crisis
MLP1Y,2008-06-13,-80.0,-1.4342492,2008 Financial Crisis
MLP1Y,2008-06-16,-79.0,-0.3157829,2008 Financial Crisis
MLP1Y,2008-06-17,-78.0,-2.3305988,2008 Financial Crisis
MLP1Y,2008-06-18,-77.0,1.7012379,2008 Financial Crisis
MLP1Y,2008-06-19,-76.0,1.6834278,2008 Financial Crisis
MLP1Y,2008-06-20,-75.0,0.93058103,2008 Financial Crisis
MLP1Y,2008-06-23,-74.0,-0.89898956,2008 Financial Crisis
MLP1Y,2008-06-24,-73.0,-0.14657915,2008 Financial Crisis
MLP1Y,2008-06-25,-72.0,-2.9766214,2008 Financial Crisis
MLP1Y,2008-06-26,-71.0,3.0305967,2008 Financial Crisis
MLP1Y,2008-06-27,-70.0,0.66659355,2008 Financial Crisis
MLP1Y,2008-06-30,-69.0,-0.15607432,2008 Financial Crisis
MLP1Y,2008-07-01,-68.0,0.5570439,2008 Financial Crisis
MLP1Y,2008-07-02,-67.0,-0.39595056,2008 Financial Crisis
MLP1Y,2008-07-03,-66.0,-1.7644763,2008 Financial Crisis
MLP1Y,2008-07-04,-65.0,1.2577336,2008 Financial Crisis
MLP1Y,2008-07-07,-64.0,-2.9072506,2008 Financial Crisis
MLP1Y,2008-07-08,-63.0,-0.16917825,2008 Financial Crisis
MLP1Y,2008-07-09,-62.0,-2.682406,2008 Financial Crisis
MLP1Y,2008-07-10,-61.0,1.3026316,2008 Financial Crisis
MLP1Y,2008-07-11,-60.0,2.8197186,2008 Financial Crisis
MLP1Y,2008-07-14,-59.0,-1.3465824,2008 Financial Crisis
MLP1Y,2008-07-15,-58.0,3.6012425,2008 Financial Crisis
MLP1Y,2008-07-16,-57.0,-1.891109,2008 Financial Crisis
MLP1Y,2008-07-17,-56.0,-4.1432867,2008 Financial Crisis
MLP1Y,2008-07-18,-55.0,-4.0345955,2008 Financial Crisis
MLP1Y,2008-07-21,-54.0,-1.4928389,2008 Financial Crisis
MLP1Y,2008-07-22,-53.0,-1.0235567,2008 Financial Crisis
MLP1Y,2008-07-23,-52.0,-1.4124346,2008 Financial Crisis
MLP1Y,2008-07-24,-51.0,1.0708812,2008 Financial Crisis
MLP1Y,2008-07-25,-50.0,-1.2889282,2008 Financial Crisis
MLP1Y,2008-07-28,-49.0,0.28098583,2008 Financial Crisis
MLP1Y,2008-07-29,-48.0,-1.2348369,2008 Financial Crisis
MLP1Y,2008-07-30,-47.0,-1.2831513,2008 Financial Crisis
MLP1Y,2008-07-31,-46.0,-0.94502854,2008 Financial Crisis
MLP1Y,2008-08-01,-45.0,1.1215057,2008 Financial Crisis
MLP1Y,2008-08-04,-44.0,0.45579082,2008 Financial Crisis
MLP1Y,2008-08-05,-43.0,-3.5182323,2008 Financial Crisis
MLP1Y,2008-08-06,-42.0,-0.7087606,2008 Financial Crisis
MLP1Y,2008-08-07,-41.0,-0.12589806,2008 Financial Crisis
MLP1Y,2008-08-08,-40.0,-0.6165278,2008 Financial Crisis
MLP1Y,2008-08-11,-39.0,-2.609869,2008 Financial Crisis
MLP1Y,2008-08-12,-38.0,-2.4021802,2008 Financial Crisis
MLP1Y,2008-08-13,-37.0,1.7538273,2008 Financial Crisis
MLP1Y,2008-08-14,-36.0,-0.63579774,2008 Financial Crisis
MLP1Y,2008-08-15,-35.0,-0.03926629,2008 Financial Crisis
MLP1Y,2008-08-18,-34.0,0.23477514,2008 Financial Crisis
MLP1Y,2008-08-19,-33.0,2.4676178,2008 Financial Crisis
MLP1Y,2008-08-20,-32.0,-1.4403827,2008 Financial Crisis
MLP1Y,2008-08-21,-31.0,-0.16422486,2008 Financial Crisis
MLP1Y,2008-08-22,-30.0,-2.5093312,2008 Financial Crisis
MLP1Y,2008-08-25,-29.0,1.9546614,2008 Financial Crisis
MLP1Y,2008-08-26,-28.0,0.410343,2008 Financial Crisis
MLP1Y,2008-08-27,-27.0,-0.9564643,2008 Financial Crisis
MLP1Y,2008-08-28,-26.0,-3.3724713,2008 Financial Crisis
MLP1Y,2008-08-29,-25.0,-1.1274627,2008 Financial Crisis
MLP1Y,2008-09-01,-24.0,0.1456297,2008 Financial Crisis
MLP1Y,2008-09-02,-23.0,-2.0097187,2008 Financial Crisis
MLP1Y,2008-09-03,-22.0,2.0608058,2008 Financial Crisis
MLP1Y,2008-09-04,-21.0,2.1302776,2008 Financial Crisis
MLP1Y,2008-09-05,-20.0,1.45421,2008 Financial Crisis
MLP1Y,2008-09-08,-19.0,-3.3907,2008 Financial Crisis
