model,train_years,horizon,horizon_days,checkpoint_index,checkpoint_date,rmse,rmdse
LSTM,1Y,2M,42,252,2005-09-14,0.904349684715271,0.49241384863853455
LSTM,1Y,2M,42,262,2005-09-28,0.7924397587776184,0.4205004572868347
LSTM,1Y,2M,42,272,2005-10-12,0.7962237000465393,0.42964184284210205
LSTM,1Y,2M,42,282,2005-10-26,0.8525090217590332,0.5108828544616699
LSTM,1Y,2M,42,292,2005-11-09,0.5384120941162109,0.3633330762386322
LSTM,1Y,2M,42,302,2005-11-23,0.6811274886131287,0.43477287888526917
LSTM,1Y,2M,42,312,2005-12-07,0.7053840756416321,0.368496298789978
LSTM,1Y,2M,42,322,2005-12-21,0.7834717631340027,0.4774952530860901
LSTM,1Y,2M,42,332,2006-01-05,0.8069412112236023,0.47556495666503906
LSTM,1Y,2M,42,342,2006-01-19,0.7992748022079468,0.4838528335094452
LSTM,1Y,2M,42,352,2006-02-02,0.686561644077301,0.47103288769721985
LSTM,1Y,2M,42,362,2006-02-16,0.7585644125938416,0.4336428642272949
LSTM,1Y,2M,42,372,2006-03-02,0.6621055603027344,0.4667310118675232
LSTM,1Y,2M,42,382,2006-03-16,0.9543761610984802,0.47540104389190674
LSTM,1Y,2M,42,392,2006-03-30,1.2185413837432861,0.802918553352356
LSTM,1Y,2M,42,402,2006-04-13,1.4558132886886597,1.0106463432312012
LSTM,1Y,2M,42,412,2006-05-02,1.4410487413406372,0.9044170379638672
LSTM,1Y,2M,42,422,2006-05-16,1.4152204990386963,0.9160086512565613
LSTM,1Y,2M,42,432,2006-05-30,1.309497594833374,0.7975857257843018
LSTM,1Y,2M,42,442,2006-06-13,1.2220860719680786,0.7765544652938843
LSTM,1Y,2M,42,452,2006-06-27,1.1552255153656006,0.7850739359855652
LSTM,1Y,2M,42,462,2006-07-11,1.0405817031860352,0.6920499801635742
LSTM,1Y,2M,42,472,2006-07-25,0.8042590618133545,0.5137821435928345
LSTM,1Y,2M,42,482,2006-08-08,0.7182077169418335,0.5210379362106323
LSTM,1Y,2M,42,492,2006-08-22,0.7351967692375183,0.47414979338645935
LSTM,1Y,2M,42,502,2006-09-05,0.6547744870185852,0.30613794922828674
LSTM,1Y,2M,42,512,2006-09-19,0.5957134366035461,0.32304543256759644
LSTM,1Y,2M,42,522,2006-10-03,0.6235201954841614,0.34034547209739685
LSTM,1Y,2M,42,532,2006-10-17,0.6593702435493469,0.3896600604057312
LSTM,1Y,2M,42,542,2006-10-31,0.805263102054596,0.4152856171131134
LSTM,1Y,2M,42,552,2006-11-14,0.7964614629745483,0.3723658323287964
LSTM,1Y,2M,42,562,2006-11-28,0.7865824103355408,0.5609552264213562
LSTM,1Y,2M,42,572,2006-12-12,0.7168238162994385,0.4738039970397949
LSTM,1Y,2M,42,582,2006-12-28,0.7801944613456726,0.43893879652023315
LSTM,1Y,2M,42,592,2007-01-12,0.8448359370231628,0.5297654271125793
LSTM,1Y,2M,42,602,2007-01-26,1.0161497592926025,0.5458472371101379
LSTM,1Y,2M,42,612,2007-02-09,1.0658754110336304,0.544219434261322
LSTM,1Y,2M,42,622,2007-02-23,1.1082499027252197,0.6323630213737488
LSTM,1Y,2M,42,632,2007-03-09,0.9733363389968872,0.5741498470306396
LSTM,1Y,2M,42,642,2007-03-23,0.7049176692962646,0.42604759335517883
LSTM,1Y,2M,42,652,2007-04-10,0.7652463316917419,0.5714525580406189
LSTM,1Y,2M,42,662,2007-04-24,0.7534056901931763,0.4843878448009491
LSTM,1Y,2M,42,672,2007-05-09,0.8072470426559448,0.6066304445266724
LSTM,1Y,2M,42,682,2007-05-23,0.9210306406021118,0.7440984845161438
LSTM,1Y,2M,42,692,2007-06-07,1.0542073249816895,0.7769463658332825
LSTM,1Y,2M,42,702,2007-06-21,1.3901265859603882,0.9243884086608887
